ID	Name   	Date	Format 	SoC ID 	FFUN Status	Processor/Plaform	Kernel/OS	syslog	auto_act.scr	IOP	PID	Identical Firmware	Image Sensor 	Notes
XT4	XT4	Feb/20	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF159505	LX45		X-Trans CMOS 4, 26M	
X100V	X100V	Apr/20	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF159504	X104		X-Trans CMOS 4, 26M	
XS10	XS10	Oct/20	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF159506	LX60		X-Trans CMOS 4, 26M	
GFX100S	GFX100S	Jan/21	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF149502	SPX4		102MP 55mm diagonal	
XE4	XE4	Jan/21	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF159505	LX24		X-Trans CMOS 4, 26M	
GFX50SII	GFX50SII	Sep/21	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF136103	SPX5		51.4MP sensor	
XT30II	XT30II	Sep/21	X6	FF4230	ELF	X Processor 4 Cortex-A7 4 Cores	ThreadX SMP	syslog Ver 2.3	Y	FF159508	LX53		X-Trans CMOS 4, 26M	
INSTAX Mini Evo	INSTAX Mini Evo	Nov/21	SUNP			Sunplus/iCatch MIPS32_4Kx	ThreadX							
XH2S	XH2S	May/22	X6		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 2.3	Y	FF169501	LX46		X-Trans CMOS 5 HS	
XH2	XH2	Oct/22	X6		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 2.3	Y	FF179501	LX47		X-Trans CMOS 5	
XT5	XT5	Nov/22	X6		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 2.3	Y	FF179502	LX48		X-Trans CMOS 5	
XS20	XS20	May/23	X6		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 2.3	Y	FF159509	LX61		X-Trans CMOS 4, 26M	
GFX100II	GFX100II	Sep/23	X7		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 3.0	Y	FF189501	SPX6		102MP 55mm diag	
X100VI	X100VI	Feb/24	X8		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 3.0	Y	FF179503	X105		X-Trans CMOS 5	
GFX100SII	GFX100SII	May/24	X6		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 3.0	Y	FF189502	SPX7		102MP 55mm diag	
XT50	XT50	May/24	X8		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 3.0	Y	FF189504	LX54		X-Trans CMOS 5	
XM5	XM5	Oct/24	X8		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 3.0	Y	FF159510	LX63		X-Trans CMOS 4	
GFX100RF	GFX100RF	Mar/25	x8		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 3.0	Y		SPX9		102MP 55mm diag	
XE5	XE5	Jun/25	X8		ELF	X Processor 5 Cortex-A53	ThreadX SMP 64/Linux	syslog Ver 3.0	Y	FF179504	LX25		X-Trans CMOS 5	
XHALF	XHALF	Jul/25	SUNP			Sunplus/iCatch Cortex-A7	ThreadX/Linux							
XT30III	XT30III	Oct/25				X Processor 5 Cortex-A53	ThreadX SMP 64/Linux			FF159511			X-Trans CMOS 4	
